Date,Open,High,Low,Close,Volume
2012-06-06,101.550003,108.099998,100.599998,107.050003,4497032
2012-06-07,107.800003,107.849998,105.050003,105.650002,580063
2012-06-08,105.699997,105.699997,102.900002,103.5,1218001
2012-06-11,103.650002,106.699997,103.650002,104.849998,6234487
2012-06-12,105.099998,107.449997,104.150002,106.150002,4724402
2012-06-13,106.900002,110.699997,106.800003,109.75,1389038
2012-06-14,109.949997,111.650002,109.349998,109.849998,1190615
2012-06-15,110.699997,112.199997,110.300003,110.849998,1264489
2012-06-18,111.849998,111.900002,107.449997,108.050003,430879
2012-06-19,108.050003,109.800003,107.199997,108.949997,527866
2012-06-20,109,110.449997,107,110.099998,414246
2012-06-21,110,114.949997,109,112.849998,2411642
2012-06-22,112.75,113.449997,111.199997,111.900002,441561
2012-06-25,111.099998,112.800003,110.849998,111.400002,318360
2012-06-26,111.900002,113.5,110.800003,113.300003,1143993
2012-06-27,113.650002,114.400002,112.099998,113.050003,781321
2012-06-28,114,115,112.050003,113.900002,650015
2012-06-29,114,116,113.050003,114.550003,1120733
2012-07-02,114.5,114.949997,113.25,113.75,394596
2012-07-03,114.75,114.75,112.699997,112.949997,696608
2012-07-04,113.75,114.650002,113.300003,114.099998,627414
2012-07-05,113.949997,115.449997,113.25,115.050003,1280516
2012-07-06,115,115.25,114.449997,115.099998,296600
2012-07-09,115,115.800003,114.400002,115,800125
2012-07-10,115.800003,117,114.550003,114.800003,582136
2012-07-11,115,116.400002,114.699997,115.400002,319139
2012-07-12,114.849998,116.349998,114.5,115.050003,1065099
2012-07-13,116,116,114.150002,114.550003,782262
2012-07-16,114.599998,115.25,112.650002,113.349998,1062993
2012-07-17,114,115.949997,114,115.449997,715296
2012-07-18,115,116.449997,114.650002,115.599998,565309
2012-07-19,115.099998,116.199997,114.800003,115.349998,364869
2012-07-20,115.699997,119,115,118.349998,1202200
2012-07-23,119.400002,120,117.199997,117.849998,2057018
2012-07-24,118.75,119.150002,115.75,118.300003,1043547
2012-07-25,115,118.050003,115,115.699997,847013
2012-07-26,115.75,117.699997,115.650002,117,1338029
2012-07-27,118.5,119.5,117.699997,118.699997,1875776
2012-07-30,118.699997,121,117.949997,120.599998,1259604
2012-07-31,120.949997,121.25,118.550003,119.300003,2196131
2012-08-01,119.550003,121.800003,118.599998,120.800003,1529644
2012-08-02,120.949997,122,119.849998,120.349998,928273
2012-08-03,120.400002,121.849998,119.300003,121.5,1125694
2012-08-06,121.800003,121.800003,118.599998,119.150002,758720
2012-08-07,120.349998,121.349998,119.25,120.349998,2344439
2012-08-08,120.349998,121.75,119.199997,119.75,667703
2012-08-09,120.5,121,119.75,120.25,448397
2012-08-10,120.25,120.900002,119.199997,120,860895
2012-08-13,121.150002,124.800003,119.400002,123.400002,1448691
2012-08-14,123.550003,124.699997,121.599998,122.400002,1114151
2012-08-16,122.449997,122.699997,117.300003,118.050003,573430
2012-08-17,118.699997,120,117.300003,119.25,948389
2012-08-21,119.25,119.75,117.800003,119.25,364860
2012-08-22,119.199997,120.5,118.699997,119.349998,879765
2012-08-23,119.599998,120.449997,118.900002,119.5,522781
2012-08-24,119.150002,123.449997,118.75,123.050003,827927
2012-08-27,122.300003,125,122.150002,122.900002,675611
2012-08-28,122.849998,123.800003,121.099998,121.699997,630933
2012-08-29,120,125.650002,120,124.849998,3036263
2012-08-30,125.449997,126.650002,123.550003,123.849998,1021122
2012-08-31,122.300003,125.5,121.599998,122.550003,1348359
2012-09-03,124.550003,126,123.5,125,1382005
2012-09-04,125.550003,129.199997,125.550003,127.949997,3591640
2012-09-05,127.449997,129,127.050003,127.550003,1281887
2012-09-06,127.949997,128.800003,127,127.599998,1377724
2012-09-07,128.600006,129.800003,127.599998,128.5,962428
2012-09-10,129.800003,132.5,128.649994,129.350006,1329480
2012-09-11,131.699997,131.699997,128.399994,130.850006,995547
2012-09-12,131.449997,131.5,128.199997,128.649994,887906
2012-09-13,133.050003,133.050003,126.300003,127.050003,970844
2012-09-14,127,129.449997,126.400002,127.25,2221022
2012-09-17,128.350006,128.449997,123.300003,124.349998,2996221
2012-09-18,124.300003,125.5,122.5,124.75,1087788
2012-09-20,124.5,125.650002,122.5,124.099998,1291257
2012-09-21,126.400002,126.550003,123.550003,125.5,1990083
2012-09-24,125.050003,126.199997,124.550003,124.849998,1757275
2012-09-25,125.099998,125.099998,123.75,124.5,1672438
2012-09-26,124.699997,124.699997,122.900002,124.25,1224535
2012-09-27,126,126,123.25,124.099998,759116
2012-09-28,124.25,132,124.25,128,1628440
2012-10-01,129.149994,129.149994,126.400002,128,798367
2012-10-03,127.75,130.550003,127.75,128.850006,2056772
2012-10-04,129,130.199997,128.5,128.949997,1047071
2012-10-05,129,133.800003,127.599998,132.899994,1461404
2012-10-08,134.850006,136.5,131.5,132.050003,906747
2012-10-09,132.5,133,130.800003,131.25,449163
2012-10-10,131.449997,132.550003,129.149994,129.649994,348958
2012-10-11,129.800003,131.75,128.25,130.550003,707025
2012-10-12,131.5,136,131,135.300003,1218094
2012-10-15,136,137.449997,134.100006,134.550003,988962
2012-10-16,135,138.899994,133.75,134.600006,1231716
2012-10-17,135.25,136.149994,131.600006,132.100006,820562
2012-10-18,132.300003,132.649994,130.75,131.800003,1518351
2012-10-19,131.949997,133.800003,129.399994,130.199997,1457991
2012-10-22,130,131.699997,129.800003,130.449997,1309233
2012-10-23,130.5,133.949997,130.5,133,1806670
2012-10-25,133,134.800003,132.149994,132.800003,1554483
2012-10-29,130,130.649994,123.300003,125.300003,2126807
2012-10-30,126.5,126.5,123.550003,124.599998,925333
2012-10-31,124.599998,126.099998,123.650002,124.349998,564439
2012-11-01,124.650002,125.349998,124.050003,124.5,657795
2012-11-02,125,125.800003,124.5,124.949997,730297
2012-11-05,125,127.75,125,127.300003,1422545
2012-11-06,127.5,128.649994,126.849998,127.449997,701648
2012-11-07,127.949997,128.899994,127.050003,128.449997,892056
